task_family,hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
peel,friction,9,0.5111314638234402,0.6250652076299164,0.4571649480418514,0.3797791460215877,0.3077951187650926,0.27591560688858324,0.8258066818411314,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3342100191349536,0.6447478391350782
peel,grasp_affordance,9,0.7429291387146146,0.8064657369234428,0.19449168497930433,0.21178866069609353,0.21218759935091358,0.1898688394158222,0.5631916191823341,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.0951912205995061,0.18680547368601647
peel,local_geometry,9,0.7430633162628566,0.8072306490583158,0.1977133544342108,0.21389110931819755,0.21355937219848084,0.19110343497863275,0.5645913625324099,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09862065271842434,0.1892188242895956
peel,occlusion_depth,9,0.7428263957045107,0.8065125617798182,0.19533844557782956,0.21228722025102542,0.21219349916872937,0.18987414925185642,0.5669631561822551,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09520597014404565,0.19330812368588057
peel,payload,9,0.5281062841533426,0.6378493868768688,0.4358540068582003,0.36581034241175403,0.29857348327910904,0.2676161349511982,0.8176642669991555,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3111559304199949,0.6303836784194964
peel,support_stiffness,9,0.7526804742576553,0.8143219535221239,0.18487232458640104,0.20547159754822877,0.2080135523932237,0.18611219715390132,0.5595501006661883,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08475610320528146,0.18052699348576534
peel,surface_anisotropy,9,0.513939839736559,0.6266392794363927,0.4512027611069671,0.37566479899944594,0.30421552826827325,0.2726939754414459,0.8327072947134788,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3252610428929054,0.6591677794266739
peel,tactile_latency,9,0.743859324305236,0.8074412741833044,0.1948612024134897,0.21193983292689456,0.21185443878366128,0.1895689949052952,0.5679423655281356,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09435831918137545,0.19499641566153636
peg-seat,adhesion,9,0.7417721904596907,0.8058317780134949,0.19724734264101335,0.21353195851268134,0.21313805799644597,0.20832425219680134,0.5663658938965066,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09756736721333713,0.19227836112424532
peg-seat,backlash,9,0.7394574849230439,0.8035666172624667,0.1974569915024019,0.21369710779807602,0.2133426637072732,0.2085083973365459,0.5654328268983261,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09807888149040525,0.19066962492048564
peg-seat,cable_tension,9,0.7249648626343259,0.791205089125548,0.20834622195975105,0.22080075497074067,0.21786716655874425,0.2125804499028698,0.57135085136452,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10939013861908285,0.20087311537944078
peg-seat,compliance,9,0.4912718439048158,0.6095368314602687,0.47941216855040725,0.3942166251848432,0.3168187429810241,0.30163686868292167,0.8396867223099872,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.35676907967478244,0.6726021920041736
peg-seat,contact_mode,9,0.46453334321126644,0.5881789856524761,0.5069108177976662,0.41215214147069873,0.32829214717629074,0.31196293245866175,0.8540924947136953,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.38545259016294925,0.7005061058410536
peg-seat,fluid_fill,9,0.741331377217284,0.8049483727242616,0.19503998914858883,0.2120566516899252,0.2120207355655711,0.20731866200901403,0.5670500829770346,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09477406113615006,0.1934579974699833
peg-seat,friction,9,0.4850064249676922,0.6047273941308194,0.4867780696013011,0.3990698972104238,0.3201604457986645,0.30464440121879804,0.8410320152398639,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3651233367188835,0.674296702237672
peg-seat,grasp_affordance,9,0.34528385936859074,0.49405175925333494,0.6381490110558066,0.49589299961581396,0.3753202741091507,0.3542882466982356,0.9917961903991688,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.5030229074950989,0.9687015384657385
peg-seat,local_geometry,9,0.34436974897541195,0.495238154164636,0.6487436771988446,0.5028946839640803,0.38021494850356574,0.35869345365320915,0.9929434226767475,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.5152595934811367,0.9710661397256923
peg-seat,occlusion_depth,9,0.7354156241209697,0.8005546429044962,0.20274608220079116,0.21713006261175447,0.21534744219065483,0.21031269797158936,0.5702502494902044,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.1030908276988593,0.19897552594096551
peg-seat,payload,9,0.5085546881112248,0.6227017396469334,0.45833818949367217,0.38049017178569566,0.30809946371327684,0.2937895173419492,0.8279985498153609,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.33497088150541443,0.6480777616448372
peg-seat,support_stiffness,9,0.7421180063362371,0.8054154797926373,0.19340997104260568,0.21099157818800085,0.21140417604399353,0.20676375843959416,0.5654970816561441,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09323266233220612,0.1907804089856891
